,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
0,6jWkZvd1URGktyTTwcpPpB,My Girl,The Temptations Sing Smokey,The Temptations,1965-01-01,165000,0,0.625,0.579,0.419,0.0,0.0981,-10.72,0.0346,104.564,4,0.673,1960
1,0GVxSbigOiKlGfI30Uw00X,When a Man Loves a Woman,When a Man Loves a Woman,Percy Sledge,2018-05-05,175693,56,0.0981,0.526,0.436,7.69e-06,0.118,-6.02,0.0232,96.903,3,0.286,1960
2,5FKkbyGm42hw1y08l2knlO,(I Can't Get No) Satisfaction - Mono Version,Hot Rocks (1964-1971),The Rolling Stones,1971-12-20,222746,57,0.000287,0.731,0.837,0.15,0.0978,-8.673,0.0477,135.603,4,0.832,1960
3,2g2GkH3vZHk4lWzBjgQ6nY,(What A) Wonderful World,The Man Who Invented Soul,Sam Cooke,2000-09-26,125440,65,0.627,0.691,0.507,0.0,0.457,-10.23,0.0343,128.518,4,0.885,1960
4,3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Blowin' Your Mind!,Van Morrison,1967-09,183306,77,0.185,0.491,0.583,0.0,0.406,-10.964,0.0376,150.566,4,0.908,1960
5,0FD8KMG4pHp0O9clTpChjp,I Say a Little Prayer,Respect - The Very Best of,Aretha Franklin,2017-03-25,216773,56,0.48,0.59,0.355,0.0,0.0585,-14.051,0.0352,133.03,4,0.499,1960
6,45yEy5WJywhJ3sDI28ajTm,Here Comes The Sun - Remastered,Abbey Road (Remastered),The Beatles,1969-09-26,185733,1,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,129.171,4,0.394,1960
7,2H3ZUSE54pST4ubRd5FzFR,Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,0,0.482,0.669,0.616,0.0,0.179,-10.776,0.033,130.037,4,0.818,1960
8,0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A. - Remastered 2001,Surfin' USA (Remastered),The Beach Boys,1963-03-25,149373,69,0.661,0.55,0.854,0.0,0.112,-5.968,0.036,159.231,4,0.965,1960
9,4Y4Gd3ty8uut6Qw43c7yJc,(Sittin' On) the Dock of the Bay,The Dock of the Bay,Otis Redding,1968-02-23,166826,60,0.724,0.484,0.312,1.65e-06,0.0601,-13.522,0.0535,205.981,4,0.598,1960
10,2KQM3kDM0zMBC9iynePBbS,Stand By Me,Stand By Me,Ben E. King,2016-11-25,174253,56,0.411,0.653,0.334,3.47e-05,0.123,-6.955,0.0313,119.46,4,0.665,1960
11,0fonScmHUzC0MglSLn9saA,Da Doo Ron Ron (When He Walked Me Home),Da Doo Ron Ron: The Very Best of The Crystals,The Crystals,2011-02-22,140120,57,0.48,0.535,0.797,3.42e-05,0.141,-7.533,0.0459,148.835,4,0.613,1960
12,3MtP9T0WF4xbIo8vqHYeXM,Spooky,Dusty... Definitely,Dusty Springfield,1968-11-22,164173,65,0.5,0.752,0.445,0.0,0.0912,-12.725,0.0338,106.283,4,0.964,1960
13,077PiyK3YgRlnlwhtAUBp7,California Dreamin' - Single Version,Gold,The Mamas & The Papas,2005,158720,0,0.472,0.557,0.698,0.0,0.057,-7.471,0.039,112.479,4,0.677,1960
14,2ZRBKVRMQ9OK4EeTaMHHSY,These Days,Chelsea Girl,Nico,1967-10,210666,0,0.989,0.421,0.119,0.146,0.101,-17.46,0.0304,94.016,4,0.218,1960
15,2iUyvvPhSYN68f67c7xeVo,Time of the Season - Mono Version,Time of the Season / She's Not There,The Zombies,2013-11-21,214026,3,0.134,0.536,0.696,3.17e-06,0.287,-6.818,0.0365,117.179,4,0.683,1960
16,672N8DGGTOLCOgWe0koX5g,I Wanna Be Your Dog,The Stooges,The Stooges,1969-08-05,188560,56,0.0229,0.527,0.871,0.155,0.419,-8.708,0.0354,120.722,4,0.107,1960
17,7jGrvXXwpmNgJVnz7QS7df,Strange - Single Version,Sentimentally Yours,Patsy Cline,1962,135506,50,0.805,0.57,0.259,0.0,0.112,-14.393,0.0332,124.863,4,0.485,1960
18,3ET8TZWF5sP4SPfJK1lKun,Strange Brew,Disraeli Gears,Cream,1967-11-02,166600,47,0.556,0.62,0.398,6.91e-06,0.273,-15.676,0.0303,106.265,4,0.677,1960
19,4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,Surrealistic Pillow,Jefferson Airplane,1967,150640,69,0.486,0.551,0.293,0.000273,0.0864,-12.503,0.0272,106.798,4,0.322,1960
20,7rea8oiI7zkZI5dbigK06f,Black Magic Woman - 2018 Remaster,The Pious Bird of Good Omen,Fleetwood Mac,1969-08-15,172693,0,0.0516,0.457,0.412,4.35e-05,0.275,-11.138,0.0369,129.423,4,0.44,1960
21,1Eolhana7nKHYpcYpdVcT5,Little Wing,Axis: Bold As Love,Jimi Hendrix,1967-12-01,145746,70,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.0768,70.776,4,0.426,1960
22,44pN9jfSqY3d3lrKuv3QeN,In Dreams,In Dreams,Roy Orbison,1963-02-01,169160,56,0.67,0.495,0.435,0.00038,0.13,-9.99,0.0286,108.189,4,0.71,1960
23,1fibb2CBsQPBrSePsMcmPe,She's Not There,The Zombies,The Zombies,1966-01-01,145306,0,0.656,0.517,0.535,0.0,0.0743,-8.331,0.0441,132.08,4,0.777,1960
24,1sM0yZDxUhPQhkDh2CLd6l,Travelin' Man - Remastered,Rick Is 21,Ricky Nelson,1961-01-01,143200,55,0.667,0.723,0.44,0.0,0.128,-10.536,0.0319,123.217,4,0.843,1960
25,7AL6qzIDHIX7pEUWrzNiIs,Hurdy Gurdy Man,The Hurdy Gurdy Man,Donovan,1968-10,193466,54,0.00379,0.405,0.463,0.0442,0.392,-16.167,0.0542,79.451,4,0.542,1960
26,11607FzqoipskTsXrwEHnJ,Sunday Morning,The Velvet Underground & Nico 45th Anniversary,The Velvet Underground,1967-03-12,175893,62,0.0869,0.506,0.442,0.00239,0.0846,-13.268,0.0276,105.826,4,0.532,1960
27,2OwKfQWsrkGJGULGijojrv,Remember (Walking In the Sand),"Choice Rock Cuts, Vol. 1",The Shangri-Las,2005-08-19,139773,0,0.734,0.498,0.516,0.306,0.206,-9.714,0.0365,66.209,4,0.354,1960
28,3IKyTBHZSgCx2v1ZX8v0TZ,Albatross - 2018 Remaster,The Pious Bird of Good Omen,Fleetwood Mac,1969-08-15,191106,0,0.833,0.321,0.0631,0.83,0.141,-21.616,0.0351,135.605,4,0.264,1960
29,2AxCeJ6PSsBYiTckM0HLY7,Voodoo Child (Slight Return),Electric Ladyland,Jimi Hendrix,1968-10-25,313373,65,0.477,0.214,0.91,0.00833,0.0517,-6.662,0.389,175.549,4,0.448,1960
30,7zmVAVcT1oho7iWJGpApkE,Summer Wine,Nancy & Lee,Nancy Sinatra,1968-01-01,256279,2,0.447,0.321,0.664,0.0,0.138,-5.902,0.0326,139.235,4,0.57,1960
31,0OwvrdjaJOypNsNQHyBWE5,California Soul,The Spice Of Life,Marlena Shaw,1969-01-01,177226,63,0.555,0.513,0.826,3.48e-05,0.366,-8.407,0.0574,94.582,4,0.539,1960
32,0zGLlXbHlrAyBN1x6sY0rb,A Sunday Kind Of Love,At Last!,Etta James,1960,196133,67,0.829,0.421,0.285,1.55e-06,0.233,-9.43,0.0293,85.861,4,0.402,1960
33,4QelFzhVgLomeQhvKrwM1S,Blue Velvet,The Best Of Bobby Vinton,Bobby Vinton,1962,168093,53,0.862,0.376,0.246,0.0,0.155,-9.803,0.0286,80.167,1,0.282,1960
34,4RGxUjaCmVtD30pIhtEi7w,Sunshine Superman,Sunshine Superman,Donovan,1966-09,195000,55,0.122,0.629,0.677,9.72e-06,0.0962,-7.239,0.0299,132.783,4,0.627,1960
35,0j4nxNMlaLybQ2sLA1Nxpr,The Look Of Love - Mono Version,Complete A And B Sides 1963 - 1970,Dusty Springfield,2006-01-01,211026,42,0.612,0.642,0.275,3.21e-05,0.155,-12.552,0.0279,97.297,4,0.351,1960
36,7A8oXvjcFnGCmzbswJ0MKu,For Your Love,Five Live Yardbirds,The Yardbirds,2017-10-09,149733,0,0.387,0.338,0.668,1.59e-05,0.111,-8.641,0.0421,127.097,5,0.561,1960
37,3Z5AAfbKef7G8EQHlQKTax,Alone Again Or,Radio Pop Hits 60s,Various Artists,2017-10-31,193613,33,0.515,0.298,0.44,0.000525,0.105,-10.358,0.033,173.741,4,0.199,1960
38,2csA2nDUNR5TfQEn1I7nt4,September In The Rain,September In The Rain,Dinah Washington,1961-01-01,129333,60,0.346,0.401,0.213,1.05e-05,0.0596,-13.124,0.0545,110.611,4,0.678,1960
39,6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,Let It Bleed,The Rolling Stones,1969-12-05,270773,73,0.447,0.634,0.63,0.039,0.17,-8.277,0.031,118.628,4,0.489,1960
40,3Xls4cNOwy01dtrNXb1inG,White Room,Wheels Of Fire,Cream,1968-07-01,298333,67,0.191,0.553,0.576,0.00664,0.0365,-13.458,0.0304,109.827,4,0.457,1960
41,57460SJgSpCXaRJ9YIYHxy,Going Up The Country,The Best Of Canned Heat,Canned Heat,1987-01-01,171373,59,0.806,0.653,0.239,0.0146,0.132,-18.54,0.0453,80.392,4,0.765,1960
