,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
0,2qhASBzpbFhPRtrnZ5lLnz,Unchained Melody,Just Once In My Life,The Righteous Brothers,1965-04-04,218013,73,0.396,0.339,0.208,0.000519,0.18,-16.725,0.0308,98.54,3,0.288,1960
1,4Y4Gd3ty8uut6Qw43c7yJc,(Sittin' On) the Dock of the Bay,The Dock of the Bay,Otis Redding,1968-02-23,166826,60,0.724,0.484,0.312,1.65e-06,0.0601,-13.522,0.0535,205.981,4,0.598,1960
2,65jrjEhWfAvysKfnojk1i0,Under the Boardwalk,Under the Boardwalk,The Drifters,1964-06-01,161960,66,0.908,0.747,0.226,0.000168,0.107,-13.635,0.0414,123.792,4,0.778,1960
3,51FpzuGkRYXFgsE2zXt9av,When a Man Loves a Woman,When a Man Loves a Woman,Percy Sledge,1966,173866,65,0.13,0.516,0.15,0.0755,0.122,-20.41,0.0272,97.398,3,0.205,1960
4,0CmIALzGn4vHIHJG4n3Q4z,At Last - Single Version,At Last!,Etta James,1960,182400,0,0.721,0.168,0.326,0.0006,0.316,-9.981,0.0324,174.794,3,0.322,1960
5,60jQTAr2OkFcV4SWSRz3st,Emotions,Emotions,Brenda Lee,1961-04-03,171226,63,0.742,0.466,0.416,5.04e-06,0.249,-8.249,0.026,98.78,3,0.516,1960
6,3MtP9T0WF4xbIo8vqHYeXM,Spooky,Dusty... Definitely,Dusty Springfield,1968-11-22,164173,65,0.5,0.752,0.445,0.0,0.0912,-12.725,0.0338,106.283,4,0.964,1960
7,63rva3TBizr6x1Yp5uwKfD,California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,1966-03,157960,53,0.628,0.554,0.667,0.0,0.0486,-10.226,0.0342,112.749,4,0.597,1960
8,1UFC110Pt7YQsgeDbmllyx,If I Can Dream - Stereo Mix,The Essential Elvis Presley,Elvis Presley,2007,189373,42,0.406,0.228,0.687,0.000763,0.146,-6.792,0.0395,189.752,3,0.434,1960
9,3nsJGZ5RV2ZHkbKvD771gU,Ooo Baby Baby,Going To A Go-Go,Smokey Robinson & The Miracles,1965-11-01,164160,60,0.81,0.185,0.344,0.0,0.166,-9.378,0.0295,178.635,3,0.424,1960
10,3UeJfsP9KekC5VVvIZ0444,I Go To Sleep,Then Was Then Now Is Now!,Peggy Lee,1965-11-15,122120,40,0.762,0.408,0.23,0.0,0.0838,-10.518,0.0394,183.599,3,0.581,1960
11,5RSQKtG1KNwrzFMEePpjt6,"Caroline, No - Mono / Remastered",Pet Sounds (Original Mono & Stereo Mix Versions),The Beach Boys,1966-06-16,173933,44,0.775,0.402,0.426,6.12e-06,0.175,-9.662,0.0262,75.866,4,0.641,1960
