Year,Length mean,Popularity mean,Acousticness mean,Danceability mean,Energy mean,Instrumentalness mean,Liveness mean,Loudness mean,Speechiness mean,Tempo mean,Time Signature mean,Valence mean,Decade mean,Songs per Year mean,Length standard deviation,Popularity standard deviation,Acousticness standard deviation,Danceability standard deviation,Energy standard deviation,Instrumentalness standard deviation,Liveness standard deviation,Loudness standard deviation,Speechiness standard deviation,Tempo standard deviation,Time Signature standard deviation,Valence standard deviation,Decade standard deviation,Songs per Year standard deviation
1970,3.5909120000000003,44.46,0.321983255,0.5404800000000001,0.59043,0.0356150105,0.19782599999999997,-9.9293,0.048105,116.06227000000001,3.94,0.67458,1970.0,100.0,1.969608578161579,17.242430633220312,0.24340291652568496,0.14168926593362,0.1753719426898963,0.11941836767469728,0.16582545443138014,3.1922697744913906,0.03174941143175139,27.748963299173692,0.23868325657594208,0.21030450169776072,0.0,0.0
1971,3.652898,45.95,0.35294,0.55825,0.593847,0.0478050156,0.181695,-9.82639,0.059912,121.10922000000001,3.99,0.6642199999999999,1970.0,100.0,1.2347198415295135,19.429944088255308,0.26416952340678834,0.1500419722422477,0.20628687363313583,0.14825300407208983,0.15277292740693574,3.0813212202763363,0.05641929120612931,29.61280137242724,0.17378728435078383,0.25633136619019004,0.0,0.0
1972,3.717778,46.34,0.36936231999999997,0.55343,0.573744,0.033335682,0.171962,-10.12384,0.053686,124.11604,3.93,0.6400100000000001,1970.0,100.0,1.1639100246890723,17.378275071031773,0.2504397891968995,0.15631289877432483,0.19775924569173925,0.13535082076090948,0.13096543902183436,3.3309828219310886,0.0390353893307345,28.6485239413584,0.25643239997624284,0.21636480113853357,0.0,0.0
1973,4.235259,47.83,0.31169003,0.55159,0.62522,0.061049556000000005,0.168744,-9.764710000000001,0.059312000000000004,122.22214,3.95,0.675969,1970.0,100.0,2.5868726888859523,15.97665911145495,0.2667806556597225,0.14852174584854227,0.19646829132190644,0.1924270092837624,0.13660227405415942,3.2430253000660794,0.049914578101699976,27.004550197215643,0.32952368440805363,0.239418709215095,0.0,0.0
1974,3.9282606060606065,50.39393939393939,0.3169412071717172,0.5596868686868687,0.6327777777777778,0.030189062121212123,0.21184949494949493,-9.547020202020201,0.05974141414141414,119.86067676767676,3.9494949494949494,0.6557737373737373,1970.0,99.0,1.2001970132337183,16.644431674028144,0.27127570699095366,0.13575057007168959,0.18899360509403465,0.11422793738216061,0.18149429258116698,3.232447250006952,0.04690716843981336,24.59091424789888,0.2200991137469465,0.21434382763703178,0.0,0.0
1975,3.879178,46.56,0.30763408,0.57144,0.590277,0.0518254222,0.168649,-10.23453,0.046991,119.4578,3.97,0.637346,1970.0,100.0,0.9635576086398134,16.914114600749066,0.25151797385417746,0.15256198078092056,0.20499305277954857,0.1666774506278565,0.13905868138191432,3.5768731377468996,0.031515547213424935,23.675768382995567,0.1714466079977653,0.2403140703497838,0.0,0.0
1976,4.290978,53.69,0.29909964299999997,0.59325,0.63461,0.07311040590000001,0.18932500000000002,-9.369439999999999,0.05528400000000001,117.71544,3.94,0.6726800000000001,1970.0,100.0,1.7027927589448901,13.78602351820294,0.24479217640417011,0.14242264425279985,0.1742744204878147,0.18997181951778797,0.1746878754039081,3.1504429937660667,0.047152162284255936,24.74909470084745,0.23868325657594186,0.24127778031291494,0.0,0.0
1977,3.9996820000000004,51.19,0.29660754,0.5982999999999999,0.61075,0.028859547599999997,0.175263,-9.95017,0.053303,118.64003000000001,3.95,0.67118,1970.0,100.0,1.0320328484494996,17.646183093739502,0.27795364061941025,0.14305741589454302,0.20127228529602087,0.10607066393809468,0.14069532284229272,3.2861799598293193,0.047524365797393275,25.6062845554849,0.21904291355759034,0.22815918508220032,0.0,0.0
1978,4.2729930000000005,51.24,0.27185776,0.64794,0.59012,0.0330943706,0.161526,-10.33001,0.052100999999999995,116.87494000000001,3.99,0.72519,1970.0,100.0,1.3172064384391902,18.081253196936245,0.2359346976240928,0.12753504727261555,0.19005046007241702,0.12340962460216574,0.1556323507825446,3.628821907209338,0.03969987277032255,20.32132821745705,0.1,0.20639991068630126,0.0,0.0
1979,4.373887878787879,51.464646464646464,0.1864840909090909,0.6448383838383839,0.6626161616161617,0.03197771888888889,0.1673707070707071,-9.608878787878789,0.05164646464646464,121.39060606060606,3.9797979797979797,0.7256565656565657,1970.0,99.0,1.3538437517443773,17.753592985769096,0.2129265423095961,0.1428814770039516,0.17231631492461214,0.1265292432810399,0.15737358986256128,3.034668815849992,0.037571529910594766,21.742503484461015,0.14140677897022577,0.231240671587522,0.0,0.0
1980,4.066403,50.03,0.24261860999999998,0.6451600000000001,0.613918,0.0508471186,0.173215,-10.035739999999999,0.048856000000000004,128.51427999999999,3.97,0.711867,1980.0,100.0,0.9382976360565406,16.839380851882513,0.21704785161913653,0.1562577978660246,0.1930586598352266,0.16142083142970878,0.1585076739530935,3.968653741204409,0.027738575116522293,26.5310184067364,0.1714466079977653,0.24380928299750518,0.0,0.0
1981,4.070157,50.24,0.26847437,0.62657,0.63268,0.0419292612,0.167898,-9.27263,0.04584800000000001,120.64197,3.99,0.65838,1980.0,100.0,0.7758993746920247,17.760539622341646,0.24318842154703518,0.15724710368131312,0.19120431084274353,0.12223071608864242,0.13164891785243496,3.2235391042558588,0.020293868706353333,29.092389552038796,0.1,0.25898331836610483,0.0,0.0
1982,4.293385,52.67,0.1936834,0.6678000000000001,0.646777,0.0591963017,0.14627,-9.84834,0.048170000000000004,121.32329,3.97,0.74684,1980.0,100.0,1.1480340177600767,16.00066602149151,0.1837144997946212,0.1438045109644944,0.1914044086416892,0.16120321381473077,0.1204512152388894,3.5063667178434144,0.030226560331849693,23.87538363382932,0.1714466079977653,0.198207355967421,0.0,0.0
1983,4.4552602040816325,53.826530612244895,0.19347849591836735,0.6635510204081633,0.6833163265306123,0.04571504591836734,0.18457857142857143,-8.849418367346939,0.05566836734693877,119.4560306122449,3.989795918367347,0.682411224489796,1980.0,98.0,0.9785050375987565,15.8556799866565,0.20077875731161007,0.1302492552919312,0.1896583796403676,0.14714261664981965,0.18779177064959832,3.3821781882968738,0.041933094960628255,21.682393830376483,0.10101525445522107,0.21253610287984287,0.0,0.0
1984,4.487652,53.57,0.16486449,0.65535,0.6743899999999999,0.0153568012,0.186858,-9.26618,0.041147,123.41896000000001,3.99,0.70719,1980.0,100.0,1.3099711909454619,17.10233902131519,0.15233636799208555,0.1351347531730884,0.1720157318974111,0.08195465596870706,0.16014788883713046,3.228290595546338,0.015064081670173476,22.692172430923122,0.17378728435078386,0.22505369482760237,0.0,0.0
1985,4.442894,50.46,0.19029744820000002,0.65447,0.66691,0.072083577,0.1533,-10.20188,0.042466,118.97142,3.99,0.7127500000000001,1980.0,100.0,0.9806745271732432,20.942161813292845,0.19175698849103823,0.11691855535311144,0.18452193732327696,0.20341502180876764,0.1368397101086752,3.721030163866458,0.019415797067274265,22.574195955425285,0.1,0.21436301575890493,0.0,0.0
1986,4.5229606060606065,51.15151515151515,0.19229239393939396,0.6524141414141414,0.7047474747474747,0.031123620808080805,0.1643808080808081,-9.698767676767677,0.04153232323232323,116.59991919191918,3.98989898989899,0.7068585858585859,1980.0,99.0,1.0170405609492452,15.042364417628209,0.20053129888235718,0.1185469002255303,0.18760348673026825,0.1062954631293506,0.12597232582122841,3.5833813777682644,0.017473518320781867,22.44230360128342,0.10050378152592121,0.20722466414650756,0.0,0.0
1987,4.219047,48.99,0.16845553,0.64687,0.7077,0.051452478399999994,0.155456,-10.21695,0.055534,123.04821,4.0,0.68581,1980.0,100.0,0.8659192382448989,17.441095670336146,0.17665588687406292,0.1322392731133053,0.18750270031725577,0.15465269122290487,0.14146402999285076,3.61980997150375,0.09365917711888065,23.938655956758733,0.1421338109037402,0.21844235977816787,0.0,0.0
1988,4.3274360000000005,48.64,0.195433207,0.6600100000000001,0.69705,0.0374579693,0.153039,-9.491570000000001,0.050256999999999996,122.24476,3.97,0.651913,1980.0,100.0,0.8614437790996549,18.713426282547058,0.21789060838526536,0.13041847912381782,0.2085465999325674,0.10712419267380938,0.12326418937724082,3.561239987360548,0.038186613168131656,22.91239695414346,0.1714466079977653,0.2325290105306945,0.0,0.0
1989,4.520671428571428,49.724489795918366,0.19332261224489797,0.6236530612244898,0.6816938775510204,0.017037779183673468,0.16702244897959181,-9.643214285714285,0.05666020408163265,116.66154081632654,3.9693877551020407,0.6124081632653061,1980.0,98.0,0.9895258097934697,17.50863151625677,0.20691623162818557,0.15664235329629844,0.20170425467471367,0.0657162653442185,0.14417832352813637,3.2761077995745183,0.04649931102426269,23.504979576904294,0.17315041031076073,0.23993911756706052,0.0,0.0
1990,4.589262,48.49,0.125150232,0.64154,0.67644,0.0464506113,0.162488,-9.73115,0.056313,117.12210999999999,3.98,0.622108,1990.0,100.0,0.7898155596969423,15.310585893558759,0.1810773850737637,0.1407063293214314,0.19788836359029413,0.1439324613179644,0.1430410453772842,3.321123128680805,0.049954042828879164,27.61543468801423,0.19999999999999998,0.23260176818248002,0.0,0.0
